The Netherlands,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Jasper Cillessen,Goalkeeper,Ajax,Ajax,Ajax,Ajax,NEC,NEC,NEC,NEC,NEC,NEC,NEC,NEC,NEC,NEC,De Treffers,De Treffers,De Treffers,De Treffers,De Treffers,,,,,,
Ron Vlaar,Defender,Aston Villa,Aston Villa,Aston Villa,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,AZ,AZ,AZ,AZ,AZ,AZ,AZ,AZ,AZ,AZ,,,,,,
Stefan de Vrij,Defender,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,,,,,,,,
Bruno Martins Indi,Defender,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Spartaan '20,Spartaan '20,Spartaan '20,Spartaan '20,Spartaan '20,,,,,,,,,,
Daley Blind,Defender,Ajax,Ajax,Ajax,Ajax,Groningen,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Amsterdamsche FC,Amsterdamsche FC,Amsterdamsche FC,,,,,
Nigel de Jong,Midfielder,Milan,Milan,Milan,Manchester City,Manchester City,Manchester City,Hamburger SV,Hamburger SV,Hamburger SV,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,,,
Daryl Janmaat,Defender,Feyenoord,Feyenoord,Feyenoord,Heerenveen,Heerenveen,Heerenveen,Heerenveen,ADO Den Haag,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,
Jonathan de Guzman,Midfielder,Swansea City,Swansea City,Swansea City,Vitlarreal,Mallorca,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,,,,,
Robin van Persie,Forward,Manchester United,Manchester United,Manchester United,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Excelsior,Excelsior,,,,,,,
Wesley Sneijder,Midfielder,Galatasaray,Galatasaray,Inter Milan,Inter Milan,Inter Milan,Inter Milan,Real Madrid,Real Madrid,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,DOS
Arjen Robben,Midfielder,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Real Madrid,Real Madrid,Chelsea,Chelsea,Chelsea,PSV,PSV,Groningen,Groningen,Groningen,Groningen,Groningen,Groningen,vv Bendum,vv Bendum,vv Bendum,vv Bendum,vv Bendum,vv Bendum
Paul Verhaegh,Defender,FC Augsburg,FC Augsburg,FC Augsburg,FC Augsburg,FC Augsburg,Vitesse,Vitesse,Vitesse,Vitesse,FC Den Bosch,FC Den Bosch,AGOVV,,,,,,,,,,,,,
Joel Veltman,Defender,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,,,,,,,,,,,
Terence Kongolo,Forward,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,,,,,,,,
Dirk Kuyt,Forward,Fenerbahce,Fenerbahce,Fenerbahce,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Feyenoord,Feyenoord,Feyenoord,Utrecht,Utrecht,Utrecht,Utrecht,Utrecht,Quick Boys,Quick Boys,Quick Boys,Quick Boys,Quick Boys,Quick Boys,Quick Boys,Quick Boys
Jordy Clasie,Midfielder,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Excelsior,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,,,,,,
Jermain Lens,Forward,Dynamo Kyiv,Dynamo Kyiv,PSV,PSV,PSV,AZ,AZ,NEC,AZ,AZ,,,,,,,,,,,,,,,
Leroy Fer,Midfielder,Norwich City,Norwich City,Twente,Twente,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,,,,,,,,,
Klaas-Jan Hunterlaar,Forward,Schalke 04,Schalke 04,Schalke 04,Schalke 04,Schalke 04,Milan/ Real Madrid,Real Madrid/ Ajax,Ajax,Ajax,Heerenveen,Heerenveen,AGOVV,PSV,PSV,PSV,De Graafschap,De Graafschap,De Graafschap,De Graafschap,De Graafschap,De Graafschap,,,,
Georginio Wijnaldum,Midfielder,PSV,PSV,PSV,PSV,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Feyenoord,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,,,,,,,
Memphis Depay,Midfielder,PSV,PSV,PSV,PSV,PSV,PSV,PSV,PSV,PSV,Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam,,,,,,,,,,,,,
Michel Vorm,Goalkeeper,Swansea City,Swansea City,Swansea City,Swansea City,Utrecht,Utrecht,Utrecht,Utrecht,Utrecht,FC Den Bosch,,,,,,,,,,,,,,,
Tim Krul,Goalkeeper,Newcastle United,Newcastle United,Newcastle United,Newcastle United,Newcastle United,Newcastle United,Carlisle United,Falkirk,Newcastle United,Newcastle United,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,ADO Den Haag,,,,,,
