Costa Rica,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Keylor Navas,Goalkeeper,Levante,Levante,Levante,Levante,Albacete,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,,,,,,,,,
Johnny Acosta,Defender,Alajuelense,Dorados,Alajuelense,Alajuelense,Alajuelense,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,,,,,,,,,
Giancarlo Gonzalez,Defender,Columbus Crew,Valerenga,Valerenga,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,,,,,,,,,,,,,,
Michael Umana,Defender,Saprissa,Saprissa,Comunicaciones,Chivas USA,Chivas USA,Liberia Mia,Liberia Mia,Liberia Mia,Brujas,LA Galaxy,Herediano,Herediano,Carmelita,Carmelita,Carmelita,Carmelita,,,,,,,,,
Celso Borges,Midfielder,AIK,AIK,AIK,Fredrikstad FK,Fredrikstad FK,Fredrikstad FK,Saprissa,Saprissa,Saprissa,,,,,,,,,,,,,,,,
Oscar Duarte,Defender,Club Brugge,Club Brugge,Saprissa,Saprissa,Puntarenas,Saprissa,Saprissa,,,,,,,,,,,,,,,,,,
Christian Bolanos,Midfielder,Copenhagen,Copenhagen,Copenhagen,Copenhagen,Copenhagen,Start,Start,OB,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,,,,,,,,,,,
Heiner Mora,Defender,Saprissa,Belen,Honefoss,Saprissa/ Santos de Guapiles,Brujas,Brujas,UCR,Brujas,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,Santos de Guapiles,,,,,,,,,
Joel Campbell,Forward,Olympiacos,Olympiacos,Betis,Lorient/ Puntarenas,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Saprissa,Alajuelense,Alajuelense,,,,,,,,,,,,
Bryan Ruiz,Forward,PSV,Fulham,Fulham,Fulham,Twente,Twente,Gent,Gent,Gent,Alajuelense,Alajuelense,Alajuelense,,,,,,,,,,,,,
Michael Barrantes,Midfielder,Aalesund,Aalesund,Aalesund,Aalesund,Aalesund,Saprissa,Saprissa,Saprissa,Puntarenas,Puntarenas,Belen/ Ramonense,,,,,,,,,,,,,,
Waylon Francis,Defender,Columbus Crew,Herediano,Herediano,Limon,Brujas,,,,,,,,,,,,,,,,,,,,
Oscar Granados,Midfielder,Herediano,Herediano,Herediano,Orion,Cartagines,Cartagines,Cartagines,Cartagines,Cartagines,Cartagines,Cartagines,,,,,,,,,,,,,,
Randall Brenes,Forward,Cartagines,Cartagines,Cartagines/ Khazar Lankaran,Cartagines,Cartagines,Kongsvinger,Kongsvinger,Bodo/Glimt,Bodo/Glimt,Bodo/Glimt,Cartagines,,,,,,,,,,,,,,
Junior Diaz,Defender,Mainz,Mainz,Mainz,Wisla Krakow,Club Brugge,Wisla Krakow,Wisla Krakow,Herediano,Herediano,Herediano,Herediano,Herediano,,,,,,,,,,,,,
Cristian Gamboa,Defender,Rosenborg,Rosenborg,Rosenborg,Copenhagen,Fredrikstad FK,Municipal Liberia,Municipal Liberia,Municipal Liberia,Municipal Liberia,,,,,,,,,,,,,,,,
Yeltsin Tejeda,Midfielder,Saprissa,Saprissa,Saprissa,Saprissa,,,,,,,,,,,,,,,,,,,,,
Patrick Pemberton,Goalkeeper,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,Alajuelense,,,,,,,,,,,,,
Roy Miller,Defender,New York Red Bulls,New York Red Bulls,New York Red Bulls,New York Red Bulls,New York Red Bulls,Orgryte,Rosenborg,Bodo/Glimt,Bodo/Glimt,Bodo/Glimt,Cartagines,Cartagines,Cartagines,Cartagines,,,,,,,,,,,
Diego Calvo,Midfielder,Valerenga,Valerenga,Alajuelense,Alajuelense,Alajuelense,,,,,,,,,,,,,,,,,,,,
Marco Urena,Forward,Kuban Krasnodar,Kuban Krasnodar,Kuban Krasnodar,Kuban Krasnodar,Alajuelense,Alajuelense,Alajuelense,,,,,,,,,,,,,,,,,,
Jose Miguel Cubero,Midfielder,Herediano,Herediano,Herediano,Herediano,Herediano,Puntarenas,Herediano,Herediano,Herediano,,,,,,,,,,,,,,,,
Daniel Cambronero,Goalkeeper,Herediano,Herediano,Herediano,Herediano,UCR,UCR,Puntarenas,Puntarenas,Saprissa,Saprissa,Saprissa,Saprissa,,,,,,,,,,,,,