Germany,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Manuel Neuer,Goalkeeper,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,
Kevin Grosskreutz,Defender,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Ahlen,Ahlen,Ahlen,Ahlen,Ahlen,Ahlen,Dortmund,FC Merkur 07 Dortmund,FC Merkur 07 Dortmund,FC Merkur 07 Dortmund,Kemminghausen,Kemminghausen,Kemminghausen,Kemminghausen,,,,,
Matthias Ginter,Midfielder,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,Freiburg,SV March,SV March,SV March,SV March,SV March,SV March,SV March,,,,,,,,
Benedikt Höwedes,Defender,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Herten-Langenbochum,TuS Haltern,TuS Haltern,TuS Haltern,TuS Haltern,TuS Haltern,TuS Haltern,,,,
Mats Hummels,Defender,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,,,,,
Sami Khedira,Midfielder,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Oeffingen,Oeffingen,Oeffingen,,
Bastian Schweinsteiger,Midfielder,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Rosenheim,Rosenheim,Rosenheim,Rosenheim,Rosenheim,Rosenheim,Oberaudorf,Oberaudorf
Mesut Özil,Midfielder,Arsenal,Arsenal,Real Madrid,Real Madrid,Real Madrid,Bremen,Bremen,Schalke,Schalke,Schalke,Essen,Essen,Essen,Essen,Essen,Falke Gelsenkirchen,Teutonia Schalke-Nord,Westfalia 04 Gelsenkirchen,Westfalia 04 Gelsenkirchen,Westfalia 04 Gelsenkirchen,,,,,
André Schürrle,Midfielder,Chelsea,Chelsea,Bayer Leverkusen,Bayer Leverkusen,Mainz 05,Mainz 05,Mainz 05,Mainz 05,Mainz 05,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,Ludwighafener SC,,,,,,
Lukas Podolski,Midfielder,Arsenal,Arsenal,Arsenal,Koln,Koln,Koln,Bayern Munich,Bayern Munich,Bayern Munich,Koln,Koln,Koln,Koln,Koln,Koln,Koln,Koln,Koln,Koln,Koln,Bergheim,Bergheim,Bergheim,Bergheim,
Miroslav Klose,Forward,Lazio,Lazio,Lazio,Lazio,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bremen,Bremen,Bremen,Kaiserlautern,Kaiserlautern,Kaiserlautern,Kaiserlautern,Kaiserlautern,Homburg,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf,Blaubach-Diedelkopf
Ron-Robert Zieler,Goalkeeper,Hannover,Hannover,Hannover,Hannover,Hannover,Manchester United,Northampton Town,Manchester United,Manchester United,Manchester United,Koln,Koln,Koln,Koln,Koln,Koln,Viktoria Koln,Viktoria Koln,Viktoria Koln,Viktoria Koln,Viktoria Koln,,,,
Thomas Müller,Midfielder,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,TSV Pahl,TSV Pahl,TSV Pahl,TSV Pahl,TSV Pahl,TSV Pahl,TSV Pahl,,,
Julian Draxler,Midfielder,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Schalke,Buer,Rentfort,Rentfort,,,,,,,,
Erik Durm,Defender,Dortmund,Dortmund,Dortmund,Mainz 05,Mainz 05,Saarbrucken,Saarbrucken,,,,,,,,,,,,,,,,,,
Philipp Lahm,Defender,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Stuttgart,Stuttgart,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Gern Munchen,Gern Munchen,Gern Munchen,Gern Munchen,Gern Munchen
Per Mertesacker,Defender,Arsenal,Arsenal,Arsenal,Arsenal,Bremen,Bremen,Bremen,Bremen,Bremen,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Hannover,Pattensen,Pattensen,Pattensen,Pattensen,Pattensen
Toni Kroos,Midfielder,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayer Leverkusen,Bayern Munich,Bayern Munich,Bayern Munich,Hansa Rostock,Hansa Rostock,Hansa Rostock,Hansa Rostock,Griefswalder,Griefswalder,Griefswalder,Griefswalder,Griefswalder,,,,,,,
Mario Götze,Midfielder,Bayern Munich,Bayern Munich,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Hombruch,Hombruch,Hombruch,Ronsberg,Ronsberg,Ronsberg,,,,,
Jérôme Boateng,Defender,Bayern Munich,Bayern Munich,Bayern Munich,Manchester City,Manchester City,Hamburger,Hamburger,Hamburger,Hertha BSC,Hertha BSC,Hertha BSC,Hertha BSC,Hertha BSC,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,Tennis Borussia Berlin,,,,
Shkodran Mustafi,Defender,Sampdoria,Sampdoria,Sampdoria,Everton,Everton,Everton,Hamburger,Hamburger,Hamburger,,,,,,,,,,,,,,,,
Roman Weidenfeller,Goalkeeper,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Kaiserlautern,Kaiserlautern,Kaiserlautern,Kaiserlautern,Kaiserlautern,Kaiserlautern,Eisbachtal,Eisbachtal,Eisbachtal,Eisbachtal,Eisbachtal,Eisbachtal
Christoph Kramer,Midfielder,Monchengladbach,Monchengladbach,Bochum,Bochum,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Dusseldorf,Dusseldorf,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,,,,,,,,,